filepath,class,disk_yellow_ratio,disk_brown_ratio,disk_green_ratio,disk_dark_ratio,disk_dark_green_ratio,center_brown,center_yellow,center_green,border_yellow,ratio_brown_center_vs_yellow_border,edge_tight_mean,edge_loose_mean,edge_tight_std,log_laplacian_var,sat_mean,sat_std,sat_p25,sat_p75,val_mean,val_std,val_p25,val_p75,sat_x_val_mean,gray_mean,gray_std,gray_p10,gray_p90,v_mean,v_std,vhist_b0,vhist_b1,vhist_b2,vhist_b3,vhist_b4,vhist_b5,vhist_b6,vhist_b7
.\Stage1_Young_Bud\Young_Bud_1.jpg,Stage1_Young_Bud,0.0821990966796875,0.07318115234375,0.6097564697265625,0.156097412109375,0.1824188232421875,0.0009611687812379854,0.08910034602076125,0.8781237985390234,0.11009939780889502,0.008729930139819464,39.44297790527344,56.94854736328125,92.20743386413504,5.4487980655548816,0.3481680154800415,0.22454902529716492,0.16470588743686676,0.501960813999176,0.5356076955795288,0.20034217834472656,0.3764705955982208,0.7019608020782471,0.17075228691101074,126.00663757324219,49.89789962768555,61.0,193.0,136.5799560546875,51.087257385253906,0.00021219253540039062,0.0021715164184570312,0.0053806304931640625,0.006400108337402344,0.005797386169433594,0.005808830261230469,0.0044040679931640625,0.0010752677917480469
.\Stage1_Young_Bud\Young_Bud_10.jpg,Stage1_Young_Bud,0.129974365234375,0.0767059326171875,0.719268798828125,0.1044921875,0.1529388427734375,0.017397154940407535,0.11447520184544406,0.9057093425605537,0.17906116230138577,0.0971570694601899,39.026641845703125,55.70343017578125,91.80803285607153,5.313197452649776,0.48094722628593445,0.24794627726078033,0.250980406999588,0.6823529601097107,0.5526801347732544,0.18479126691818237,0.40784314274787903,0.6980392336845398,0.24558937549591064,127.19488525390625,46.39249801635742,67.0,190.0,140.93344116210938,47.12177658081055,0.00016069412231445312,0.0011410713195800781,0.004751682281494141,0.006699562072753906,0.006932258605957031,0.006356716156005859,0.004159450531005859,0.0010485649108886719
.\Stage1_Young_Bud\Young_Bud_100.jpg,Stage1_Young_Bud,0.22723388671875,0.0843963623046875,0.6365509033203125,0.205230712890625,0.2040252685546875,0.0,0.131199538638985,0.8824490580545944,0.28945077269099617,0.0,41.968231201171875,57.90184020996094,94.5545690389619,5.505611968410075,0.47156575322151184,0.2694909870624542,0.250980406999588,0.7019608020782471,0.5155290365219116,0.21140384674072266,0.34117648005485535,0.6901960968971252,0.2175889015197754,119.46539306640625,52.459938049316406,51.0,191.0,131.45989990234375,53.907981872558594,0.0005092620849609375,0.0029859542846679688,0.005854606628417969,0.005743503570556641,0.005589485168457031,0.005414009094238281,0.0041332244873046875,0.0010199546813964844
.\Stage1_Young_Bud\Young_Bud_101.jpg,Stage1_Young_Bud,0.1345977783203125,0.01220703125,0.847564697265625,0.0866546630859375,0.1264801025390625,0.0011534025374855825,0.0036524413687043446,0.9912533640907343,0.16565696872959443,0.0069625539074929495,30.470352172851562,55.40382385253906,82.71334500876837,5.364313011197108,0.4484618306159973,0.1760030835866928,0.3137255012989044,0.5686274766921997,0.5805783271789551,0.17586961388587952,0.4627451002597809,0.7098039388656616,0.24836477637290955,133.44566345214844,43.01765060424805,73.0,190.0,148.04747009277344,44.84675216674805,0.0001468658447265625,0.001209259033203125,0.0030574798583984375,0.0052318572998046875,0.007705211639404297,0.00856781005859375,0.004567146301269531,0.0007643699645996094
.\Stage1_Young_Bud\Young_Bud_102.jpg,Stage1_Young_Bud,0.0657806396484375,0.0050506591796875,0.9485321044921875,0.039520263671875,0.09295654296875,0.0022106881968473662,0.05142252979623222,0.9745290272971934,0.06865341362548066,0.03220023418897693,33.26408386230469,58.792877197265625,85.88272299880376,5.581533744544073,0.5926081538200378,0.18000203371047974,0.45098039507865906,0.7450980544090271,0.5753337740898132,0.14035826921463013,0.48627451062202454,0.6705882549285889,0.33004653453826904,128.37332153320312,34.19197463989258,85.0,172.0,146.71011352539062,35.791358947753906,2.288818359375e-05,0.0005040168762207031,0.002155780792236328,0.005955219268798828,0.011158466339111328,0.008418560028076172,0.002616405487060547,0.00041866302490234375
.\Stage1_Young_Bud\Young_Bud_103.jpg,Stage1_Young_Bud,0.0140228271484375,0.0036773681640625,0.9801025390625,0.0986175537109375,0.1560516357421875,0.0011534025374855825,0.010765090349865437,0.9921184159938485,0.01675977653631285,0.06881557874044157,28.536529541015625,43.85536193847656,80.38956098097394,5.20282734679351,0.5151816010475159,0.19958806037902832,0.3450980484485626,0.6509804129600525,0.5943093299865723,0.18475188314914703,0.47843137383461,0.7254902124404907,0.28947728872299194,134.716552734375,44.88706588745117,68.0,192.0,151.5488739013672,47.11172866821289,0.00012636184692382812,0.001495361328125,0.0031561851501464844,0.003837108612060547,0.007046699523925781,0.009430885314941406,0.0049152374267578125,0.0012421607971191406
.\Stage1_Young_Bud\Young_Bud_104.jpg,Stage1_Young_Bud,0.1198272705078125,0.0726165771484375,0.739776611328125,0.0848541259765625,0.1207122802734375,0.023164167627835446,0.12149173394848135,0.8915801614763552,0.1682688819560328,0.13766080631047217,38.61030578613281,57.87071228027344,91.40499035919858,5.307143012774716,0.4531061053276062,0.23852752149105072,0.250980406999588,0.6313725709915161,0.5682893395423889,0.1838768571615219,0.4313725531101227,0.7176470756530762,0.24072040617465973,131.25746154785156,46.02019500732422,71.0,192.0,144.91378784179688,46.88859558105469,0.0001583099365234375,0.0010986328125,0.0037674903869628906,0.006837368011474609,0.006794452667236328,0.0065860748291015625,0.0048885345458984375,0.0011191368103027344
.\Stage1_Young_Bud\Young_Bud_105.jpg,Stage1_Young_Bud,0.1063079833984375,0.0407257080078125,0.4689483642578125,0.110626220703125,0.117950439453125,0.11505190311418685,0.29767397154940406,0.37139561707035756,0.108593920046434,1.0594593473156195,28.485946655273438,42.15110778808594,80.32725091927173,5.211771951111333,0.306576669216156,0.16903074085712433,0.18039216101169586,0.38823530077934265,0.6073377132415771,0.20278045535087585,0.4745098054409027,0.7647058963775635,0.17041806876659393,139.49554443359375,49.34111404418945,66.0,200.0,154.87110900878906,51.709014892578125,0.00014925003051757812,0.0018787384033203125,0.0029420852661132812,0.0036973953247070312,0.006396770477294922,0.0076351165771484375,0.0062007904052734375,0.002349853515625
.\Stage1_Young_Bud\Young_Bud_106.jpg,Stage1_Young_Bud,0.1329803466796875,0.078094482421875,0.5748291015625,0.1539306640625,0.158935546875,0.036428296808919645,0.118319876970396,0.8150711264898116,0.2071029529130088,0.17589377844574922,43.96820068359375,59.58274841308594,96.32594927102267,5.58149681642867,0.3617665767669678,0.22160975635051727,0.1882352977991104,0.501960813999176,0.5438337326049805,0.20461875200271606,0.3843137323856354,0.7058823704719543,0.17768970131874084,128.17564392089844,51.000465393066406,60.0,199.0,138.67759704589844,52.17778015136719,0.00018644332885742188,0.0021820068359375,0.004993915557861328,0.006375789642333984,0.0062255859375,0.005292415618896484,0.004279136657714844,0.0017147064208984375
.\Stage1_Young_Bud\Young_Bud_107.jpg,Stage1_Young_Bud,0.1141204833984375,0.05133056640625,0.765045166015625,0.0744781494140625,0.1175079345703125,0.022683583237216455,0.09409842368319878,0.9303152633602461,0.14906043676993397,0.152176067323348,41.20170593261719,60.971832275390625,93.8554976602837,5.406146609972202,0.4524032473564148,0.21781574189662933,0.2705882489681244,0.6000000238418579,0.5705277919769287,0.1724788397550583,0.4470588266849518,0.7058823704719543,0.24159987270832062,131.57339477539062,43.20966720581055,74.0,188.0,145.48458862304688,43.98210144042969,0.00012350082397460938,0.0007886886596679688,0.0036330223083496094,0.006474494934082031,0.007729530334472656,0.007264137268066406,0.0044765472412109375,0.0007600784301757812
